region_user,subclass,gpcr_gene,n_cells,mean_log2_expr,pct_expr,rank_mean_expr,rank_pct_expr,combined_rank_score,rank_combined,specificity_log2,rank_specificity,taxonomy_level,evidence_source
AId,003 L5/6 IT TPE-ENT Glut,Cckbr,1278,4.473603248596191,72.30046948356808,7.0,7.0,14.0,7.0,-1.0886483192443848,14.0,subclass,Allen_WMB_10X_computed
AId,006 L4/5 IT CTX Glut,Cckbr,12177,3.9596080780029297,64.11267142974461,9.0,8.0,17.0,6.0,-1.6026434898376465,17.0,subclass,Allen_WMB_10X_computed
AId,002 IT EP-CLA Glut,Cckbr,4037,3.8823728561401367,62.94277929155313,13.0,13.0,26.0,11.0,-1.6798787117004395,20.0,subclass,Allen_WMB_10X_computed
AId,030 L6 CT CTX Glut,Cckbr,13072,3.70745849609375,58.453182374541,7.0,7.0,14.0,6.0,-1.8547930717468262,16.0,subclass,Allen_WMB_10X_computed
AId,005 L5 IT CTX Glut,Cckbr,843,3.510735511779785,59.90510083036773,11.0,10.0,21.0,9.0,-2.051516056060791,19.0,subclass,Allen_WMB_10X_computed
AId,009 L2/3 IT PIR-ENTl Glut,Cckbr,816,3.0378384590148926,45.09803921568628,8.0,8.0,16.0,8.0,-2.5244131088256836,20.0,subclass,Allen_WMB_10X_computed
AId,044 OB Dopa-Gaba,Cckbr,46,1.976662516593933,28.26086956521739,9.0,8.0,17.0,8.0,-3.585589051246643,23.0,subclass,Allen_WMB_10X_computed
AId,052 Pvalb Gaba,Cckbr,3617,1.7814451456069946,30.10782416367155,10.0,9.0,19.0,8.0,-3.7808064222335815,22.0,subclass,Allen_WMB_10X_computed
AId,001 CLA-EPd-CTX Car3 Glut,Cckbr,5779,1.112766146659851,18.722962450250908,20.0,19.0,39.0,18.0,-4.449485421180725,35.0,subclass,Allen_WMB_10X_computed
AId,053 Sst Gaba,Cckbr,5983,0.7571929693222046,12.853083737255558,16.0,14.0,30.0,14.0,-4.805058598518372,27.0,subclass,Allen_WMB_10X_computed
AId,047 Sncg Gaba,Cckbr,1662,0.3030182123184204,5.6558363417569195,20.0,20.0,40.0,19.0,-5.259233355522156,31.0,subclass,Allen_WMB_10X_computed
AId,036 HPF CR Glut,Cckbr,49,0.2785305082798004,4.081632653061225,14.0,9.0,23.0,14.0,-5.283721059560776,25.0,subclass,Allen_WMB_10X_computed
AId,332 SMC NN,Cckbr,333,0.22482267022132874,3.003003003003003,15.0,14.0,29.0,15.0,-5.337428897619247,23.0,subclass,Allen_WMB_10X_computed
AId,032 L5 NP CTX Glut,Cckbr,3409,0.20756910741329193,3.373423291287768,21.0,21.0,42.0,19.0,-5.354682460427284,30.0,subclass,Allen_WMB_10X_computed
AId,049 Lamp5 Gaba,Cckbr,3704,0.1972852647304535,3.509719222462203,22.0,22.0,44.0,16.0,-5.364966303110123,32.0,subclass,Allen_WMB_10X_computed
