gene,own_best_subclass,own_pct,own_mean_log2,best_anchor,anchor_pct,anchor_mean_log2,n_subclasses_ge50,level_verdict
Ccn2,330 VLMC NN,80.6,7.52,029 L6b CTX Glut,76.9,6.14,2,strong in its own population
Cd24a,078 SI-MA-ACB Ebf1 Bnc2 Gaba,47.9,3.11,012 MEA Slc17a7 Glut,33.7,2.11,0,high level in a minority of cells (sparse but real)
Cd300c2,334 Microglia NN,88.4,7.64,053 Sst Gaba,2.5,0.14,2,strong in its own population
Cd44,058 PAL-STR Gaba-Chol,56.2,3.85,082 CEA-BST Ebf1 Pdyn Gaba,19.7,1.16,1,usable in its own population
Cd53,334 Microglia NN,91.2,8.03,005 L5 IT CTX Glut,1.1,0.06,2,strong in its own population
Cd68,335 BAM NN,87.3,7.47,074 MEA-BST Lhx6 Sp9 Gaba,11.1,0.57,2,strong in its own population
Cd93,333 Endo NN,72.3,6.17,022 L5 ET CTX Glut,0.8,0.03,1,strong in its own population
Cdh13,010 IT AON-TT-DP Glut,100.0,9.55,029 L6b CTX Glut,99.3,9.77,56,strong in its own population
Cdh20,318 Astro-NT NN,93.6,8.55,049 Lamp5 Gaba,76.3,5.88,13,strong in its own population
Cdh4,083 CEA-BST Rai14 Pdyn Crh Gaba,100.0,9.49,121 MEA-BST Otp Zic2 Glut,98.4,8.48,50,strong in its own population
Cdh6,029 L6b CTX Glut,85.8,6.5,029 L6b CTX Glut,85.8,6.5,17,strong in its own population
Cdh9,037 DG Glut,98.1,8.52,004 L6 IT CTX Glut,90.5,7.42,39,strong in its own population
Chat,058 PAL-STR Gaba-Chol,84.4,7.36,046 Vip Gaba,12.2,0.88,1,strong in its own population
Chd2,077 CEA-BST Gal Avp Gaba,98.0,7.05,119 SI-MA-LPO-LHA Skor1 Glut,94.4,6.77,71,strong in its own population
Chodl,056 Sst Chodl Gaba,63.7,4.76,113 MEA-COA-BMA Ccdc42 Glut,21.8,1.2,1,usable in its own population
Chrd,022 L5 ET CTX Glut,48.6,2.79,022 L5 ET CTX Glut,48.6,2.79,0,high level in a minority of cells (sparse but real)
Chrm1,026 NLOT Rho Glut,98.2,7.07,007 L2/3 IT CTX Glut,92.0,6.68,42,strong in its own population
Chrm2,058 PAL-STR Gaba-Chol,98.1,8.68,032 L5 NP CTX Glut,90.7,7.83,26,strong in its own population
Chrm3,001 CLA-EPd-CTX Car3 Glut,99.7,9.8,007 L2/3 IT CTX Glut,97.9,8.99,48,strong in its own population
Cldn5,333 Endo NN,99.0,10.96,005 L5 IT CTX Glut,0.9,0.04,1,strong in its own population
Clmn,319 Astro-TE NN,91.8,8.12,074 MEA-BST Lhx6 Sp9 Gaba,86.6,5.88,31,strong in its own population
Cnih3,026 NLOT Rho Glut,97.5,7.26,006 L4/5 IT CTX Glut,94.2,7.38,34,strong in its own population
Cnr1,026 NLOT Rho Glut,100.0,8.22,046 Vip Gaba,98.5,9.53,40,strong in its own population
Cntn6,133 PVH-SO-PVa Otp Glut,98.5,7.86,120 MEA Otp Foxp2 Glut,94.0,7.21,42,strong in its own population
